,BG32,BG41,BG43,BG2,BG3,BG6,BG8,BG72,BG68,BG78,BG52,BG53,BG55,BG22,BG25,BG23
TRINITY_DN53359_c16_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN162936_c0_g1,0,0,0,0,0,0,0.262,0,0,0,0,0,0,0.237,0,0
TRINITY_DN109918_c0_g1,0,0.408,0,0.172,0,0.163,0,0,0,0,0,0,0,0,0,0
TRINITY_DN187582_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN186515_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN108916_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN108980_c0_g1,0,0.247,0.336,0.313,0,0.298,0,0,0.339,0,0.307,0.89,2.171,0.303,0.329,1.545
TRINITY_DN54886_c3_g1,0.2,1.899,0.24,0,0.117,0.317,0,0.205,0.12,0.201,0.221,0.215,0.458,0.436,0.117,0.55
TRINITY_DN59609_c3_g3,0.05,0.133,0.058,0.172,0.058,0,0,0,0.06,0,0,0.051,0,0.18,0,0.052
TRINITY_DN132527_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN37934_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197
TRINITY_DN54709_c3_g2,0.889,0.627,0.873,1.433,0.944,1.374,1.058,0.674,1.268,0.882,1.392,1.525,1.244,0.521,0.763,0.446
TRINITY_DN52762_c14_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN83044_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN64286_c0_g1,0,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN63415_c5_g2,0,0,0,0,0,0,0,0,0,0,0.067,0,0,0,0,0
TRINITY_DN68147_c11_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67034_c7_g3,0.389,0.266,0.096,0.431,0.195,0.336,0.379,0.303,0.15,0.249,0.269,0.102,0.082,0.711,0.573,0.322
TRINITY_DN164290_c0_g1,0,0.047,0.029,0,0,0,0.029,0,0.03,0.048,0.029,0.051,0.035,0.057,0,0.083
TRINITY_DN45155_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67170_c0_g6,0,1.253,0.873,0.927,0.604,0.989,0.495,0.107,0.25,0.412,0.115,0.655,2.23,0.786,0.117,0.57
TRINITY_DN132880_c0_g1,0,0,0,0,0,0,0,0,0,0,0.614,0,0,0,0,0
TRINITY_DN58328_c8_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN65522_c1_g1,0.689,1.434,0.93,0.927,1.256,0.73,1.029,1.182,0.899,0.921,0.71,1.238,1.843,1.383,0.594,1.006
TRINITY_DN63972_c2_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN50890_c9_g1,0,0,0,0.313,0,0,0,0.147,0,0,0,0.072,0,0,0,0
TRINITY_DN57666_c11_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN66181_c12_g1,0,0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN59417_c0_g1,2.007,1.833,2.369,3.589,2.746,2.277,2.777,2.941,3.035,2.311,2.706,2.64,2.476,2.511,3.149,2.541
TRINITY_DN59142_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN109004_c1_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN50775_c9_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN66748_c9_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN131189_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN159698_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN150549_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN62936_c5_g1,3.805,1.643,2.033,3.535,1.236,2.296,1.602,1.983,3.584,3.903,2.514,3.122,1.948,2.283,1.495,3.008
TRINITY_DN60607_c5_g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN54118_c6_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN164376_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN72424_c0_g1,0.11,0.095,0,0,0,0,0,0,0,0,0,0,0.164,0,0,0
TRINITY_DN60174_c9_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN58907_c2_g2,0,0,0,0,0,0,0,0.332,0,0,0,0.563,0,0,0,0
TRINITY_DN57206_c15_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN37961_c0_g1,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN172055_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN60928_c19_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN52927_c4_g1,4.963,4.871,4.776,6.078,4.381,4.16,4.689,4.993,4.982,4.594,4.347,5.905,6.772,3.942,5.323,4.948
TRINITY_DN56252_c5_g1,1.728,1.491,1.688,1.563,0.633,1.95,1.417,1.348,1.967,0.758,1.516,1.576,1.326,1.052,0.509,1.898
TRINITY_DN11916_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0.563,0,0,0,0
TRINITY_DN64841_c0_g1,3.755,3.257,3.079,4.074,3.573,3.439,3.33,3.879,3.065,4.594,3.81,4.002,3.286,4.103,3.266,3.298
TRINITY_DN58202_c11_g1,0,0,0,0,0,0,0,0,0,0,0.643,0,0,0,0,0
TRINITY_DN57504_c9_g1,0,0,0,0,0,0,0,0,0,0,0.614,0,0,0,0,0.622
TRINITY_DN50973_c1_g2,2.177,3.285,2.829,2.317,2.356,1.595,2.311,3.048,2.176,2.609,2.342,3.469,2.535,2.264,2.768,2.956
TRINITY_DN57001_c2_g1,0,0.266,0.556,0.172,0.175,0.49,0,0.156,1.667,0,0.163,0.317,0.469,0,0.361,0
TRINITY_DN687_c1_g1,0,0,0,0,0,0,0,0.176,0,0,0.182,0,0.27,0.189,0,0
TRINITY_DN54459_c17_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN52296_c5_g1,4.134,2.972,6.358,5.367,4.294,5.12,3.019,2.628,5.281,4.114,8.196,1.934,4.953,4.472,4.591,5.031
TRINITY_DN71478_c0_g1,0,0,0,0,0,0,0,0,0.21,0,0.182,0,0,0,0,0
TRINITY_DN60469_c1_g1,0.429,0.37,0.345,0,0.672,0.759,0.34,0.147,0.519,0.575,0.461,0.604,0.446,0.313,0.509,0.156
TRINITY_DN55549_c0_g1,0,0,0,0,0,0,0,0.098,0,0,0,0,0,0,0,0
TRINITY_DN59008_c1_g1,1.508,2.022,1.774,1.563,2.298,1.143,1.505,1.934,1.527,2.148,1.545,1.668,2.148,2.88,2.396,1.888
TRINITY_DN23528_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67934_c5_g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67096_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN57231_c5_g4,0,0.237,0,0,0,0,0,0,0,0.058,0.067,0.123,0,0,0,0.176
TRINITY_DN117481_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN131334_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN58708_c2_g1,0,0.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN148888_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN111404_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0,0,0
TRINITY_DN54942_c14_g1,0,1.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN64783_c0_g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN145520_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN68354_c2_g1,0,0,0,0.291,0,0.279,0,0,0,0,0,0,0,0.284,0,0.57
TRINITY_DN52472_c6_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN63970_c2_g1,15.378,12.4,17.061,14.194,13.708,11.979,14.369,11.656,10.223,10.674,12.409,16.222,12.159,14.042,12.343,11.275
TRINITY_DN65410_c2_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN49553_c8_g1,0,0,0,0.345,0,0,0,0,0,0,0,0.328,0.235,0,0,0
TRINITY_DN45328_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN49288_c11_g3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
