,BG32,BG41,BG43,BG2,BG3,BG6,BG8,BG72,BG68,BG78,BG52,BG53,BG55,BG22,BG25,BG23
TRINITY_DN49462_c0_g2,1.977,1.32,2.311,1.714,1.675,2.027,2.515,2.628,1.997,2.733,2.486,1.146,1.596,1.8,1.728,1.514
TRINITY_DN157772_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN60621_c0_g1,0.359,0,0,0,0,0,0,0,0.22,0,0,0,0,0.199,0,0.197
TRINITY_DN50236_c13_g1,0,0.076,0,0,0,0.086,0,0,0,0,0,0.184,0,0,0,0
TRINITY_DN50024_c4_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN66909_c15_g1,0,0,0,0,0.292,0.259,0,0,0,0,0,0.256,0,0,0,0
TRINITY_DN57492_c4_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN63440_c1_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN55371_c0_g4,0,0,0,0,0,0,0,0,0,0,0,0.287,0,0,0,0
TRINITY_DN62327_c1_g2,0.05,0.693,0.412,0.086,0.759,0.576,0.427,0.528,0.21,0.192,0.451,0.409,0.458,0.398,0.201,0.529
TRINITY_DN181082_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN167692_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN196300_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN138909_c0_g1,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN53622_c9_g1,0.469,1.614,0,0.517,0,0,1.116,0,0,0,0,0,0,0.502,0,0
TRINITY_DN175607_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN49801_c6_g5,1.348,1.168,1.266,1.175,1.061,1.057,1.32,1.495,0.908,1.352,1.18,1.689,0.939,1.374,1.325,1.38
TRINITY_DN173769_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN90708_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN59570_c5_g4,0,0.104,0.153,0,0.146,0,0.146,0,0,0,0,0,0,0,0,0
TRINITY_DN59065_c7_g8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124
TRINITY_DN53419_c4_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN88707_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN60451_c3_g7,0,0,0.24,0,0,0,0.233,0,0,0,0,0,0,0,0,0
TRINITY_DN174052_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN62229_c4_g2,1.388,1.481,0.873,1.175,0.769,1.96,1.262,1.309,1.997,2.302,1.353,1.177,0.915,0.36,1.166,1.297
TRINITY_DN54948_c0_g4,0.33,0.171,0.077,0.366,0.458,0,0,0.948,0.1,0.077,3.417,0.686,0.599,0.777,0.308,0.425
TRINITY_DN58647_c10_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN5008_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN196542_c0_g1,0,0.199,0,0,0,0.125,0,0,0,0,0,0,0,0.123,0,0
TRINITY_DN47691_c0_g1,4.044,1.662,3.031,1.908,2.746,2.325,1.796,4.475,3.614,1.985,2.869,2.303,3.615,1.573,2.322,2.292
TRINITY_DN61981_c6_g1,8.738,1.776,9.974,1.854,0,5.994,13.893,14.264,5.531,0,1.785,0,0.634,4.036,9.321,9.097
TRINITY_DN120319_c0_g1,0.789,0,0.47,0,0,0,0,0,0,0,0.422,0,0,0,0,0
TRINITY_DN89948_c0_g1,2.986,3.608,3.242,1.336,1.743,4.448,2.854,3.429,1.448,2.378,3.234,3.777,3.685,2.587,1.41,4.263
TRINITY_DN67042_c2_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN56073_c9_g5,0,0.266,0,0,0,0.336,0,0.322,0,0.623,0.336,0,0,0.341,0.371,0
TRINITY_DN50434_c2_g2,3.066,2.744,2.685,2.64,3.33,3.218,2.883,2.843,2.745,3.472,3.465,3.173,1.843,2.985,2.736,2.655
TRINITY_DN82745_c0_g1,0,0,0.806,0,0,0,0,0,0.16,0,0,0,0,0,0.318,0
TRINITY_DN65148_c0_g2,0.03,0.133,0.355,0.032,0.175,0.154,0.029,0,0.03,0.058,0,0.317,0.129,0.028,0.064,0.488
TRINITY_DN50870_c8_g4,2.307,1.804,3.213,1.38,1.227,1.412,0.573,1.29,1.967,1.889,1.324,1.801,2.641,1.45,2.015,1.805
TRINITY_DN9560_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN52952_c2_g3,0.12,0.304,0.182,0.129,0.088,0.269,0.35,0.244,0.19,0.288,0.163,0.389,0.153,0.227,0.095,0.28
TRINITY_DN183922_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0
TRINITY_DN64529_c8_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284,0,0
TRINITY_DN50202_c10_g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN80147_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN72133_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN52307_c1_g1,4.484,4.691,4.402,5.098,4.099,4.765,4.087,4.152,4.682,4.306,3.532,5.475,5.551,5.249,5.132,5.57
TRINITY_DN51388_c7_g2,0,0.161,0.173,0.41,0,0.144,0,0.195,0.23,0,0.307,0,0.751,0,0.223,0.612
TRINITY_DN62791_c6_g1,0.669,0.294,0.738,0.463,0.38,0.567,0.204,0.909,0.22,0.949,0.662,0.184,0.106,0.407,0.191,0.716
TRINITY_DN105177_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN84692_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0,0,0
TRINITY_DN52037_c1_g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN29462_c1_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN64145_c3_g1,0.849,1.263,0.758,1.39,0.983,0.903,1.408,1.006,1.088,1.592,1.286,1.453,0.927,0.957,1.4,1.286
TRINITY_DN55333_c0_g1,0,0.114,0,0.086,0.312,0,0.078,0,0,0.153,0.077,0.082,0.117,0.085,0.233,0.29
TRINITY_DN25952_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN121242_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN184013_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67386_c10_g3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN53635_c3_g2,0,0,0.748,0,0,0.653,0.738,0,0,0,0,0,0,0,0,0
TRINITY_DN49782_c0_g1,9.397,7.074,9.725,7.738,9.609,7.647,9.097,11.06,9.494,15.748,12.62,6.151,7.441,8.073,7.751,4.948
TRINITY_DN76273_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN56120_c4_g1,0,0.114,0,0.442,0.312,0,0.155,0,0,0.403,0,0,0,0.436,0.159,0
TRINITY_DN190877_c0_g1,0.389,0.674,0.24,0,0.915,0.836,0.233,0,0,0,0,0,0,0,0,0
TRINITY_DN58518_c2_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN44667_c0_g1,0,0,0,0.108,0,0,0,0.098,0,0,0.106,0,0,0,0.106,0
TRINITY_DN54628_c9_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN118151_c0_g1,0,0,0,0,0,0,0.204,0,0,0,0,0,0.258,0.37,0,0
TRINITY_DN58765_c0_g6,19.902,15.99,14.731,13.051,13.611,12.892,13.961,15.017,15.464,15.517,13.061,9.764,11.596,16.903,14.675,12.934
TRINITY_DN5534_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN51395_c1_g9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN54616_c15_g1,0,0.152,0,0,0.419,0.375,0,0,0,0,0,0,0,0,0.212,0.197
TRINITY_DN61196_c6_g2,4.624,3.874,3.97,3.115,3.593,4.409,3.767,4.973,4.572,4.555,4.088,3.132,2.829,4.188,3.033,3.848
TRINITY_DN26474_c0_g1,0.689,1.196,0.422,1.164,0,0.365,4.136,0,0.419,0.691,0.374,1.095,0.528,2.246,0.403,3.039
TRINITY_DN169707_c0_g1,0,0,0,0,0.273,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67014_c9_g1,0.639,0.275,0.384,0.711,0,0,0.379,0.664,0,0.316,0,0,0,0.692,0,0
TRINITY_DN22012_c0_g1,0,0,0,0,0,0,0,0,0,0.345,0,0,0,0,0,0.384
TRINITY_DN78500_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN64326_c9_g3,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN64040_c2_g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN26633_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN61111_c4_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN57466_c9_g1,0,0,0,0.022,0,0,0,0,0,0,0,0.02,0,0,0,0
TRINITY_DN172553_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN56410_c4_g1,0,0,0,0,0,0,0,0,0,0,0.317,0,0,0,0,0
TRINITY_DN34663_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN172879_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN57911_c2_g7,0.03,0,0,0,0,0,0,0.215,0,0.038,0,0.041,0.047,0.038,0,0.145
TRINITY_DN46838_c1_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN14013_c0_g1,0,0.066,0,0,0,0.086,0,0,0,0,0,0,0.117,0,0,0
TRINITY_DN92819_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN53707_c2_g4,0.459,1.576,1.103,2.037,0,3.391,1.631,2.374,4.732,2.273,1.977,2.569,4.061,4.33,2.142,0.498
TRINITY_DN105112_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN58892_c0_g4,62.452,210.456,181.01,2042.01,55.067,85.246,106.26,218.022,524.699,48.998,65.998,2448.617,4172.128,112.788,3127.077,3210.579
TRINITY_DN78938_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN71044_c0_g1,0,0,0,0,0,0,0,0,0,0,0.624,0.102,0,0,0,0
TRINITY_DN204378_c0_g1,0,0.342,0,0,0,0.211,0,0,0,0.201,0,0,0.305,0.426,0.233,0
TRINITY_DN62402_c0_g1,0,0,0.221,0,0,0,0,0,0,0,0.403,0,0,0,0,0
TRINITY_DN58504_c7_g2,21.729,18.135,19.564,22.589,17.583,15.533,16.456,14.47,15.454,21.684,22.601,12.568,17.605,23.914,28.959,19.096
TRINITY_DN7627_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN61659_c0_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN56864_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN162593_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN63318_c7_g1,0.17,0.693,0.297,1.444,0.195,0.528,0.233,0.401,0.429,0.221,0.298,1.218,2.124,0.417,1.495,0.996
TRINITY_DN135502_c0_g1,0,0,0,0,0.243,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN63169_c5_g1,0,0,0,0.129,0,0,0,0,0,0,0,0,0,0,0.064,0
TRINITY_DN198004_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN50766_c7_g1,0.04,0.076,0,0,0.049,0.086,0,0,0,0,0,0.041,0,0,0,0.041
TRINITY_DN72793_c0_g1,0.479,0.209,0,0.129,0,0.125,0,0.254,0,0.125,0.134,0.256,0.188,0.133,0.138,0.259
TRINITY_DN156943_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN53257_c7_g1,0.429,0.893,0.834,0.097,0.302,0.365,0.515,0.811,0.21,1.112,0.182,0.635,0.528,0.284,0.403,0.944
TRINITY_DN57828_c2_g1,2.297,3.656,2.503,3.945,3.427,3.977,2.641,3.429,2.875,2.925,4.319,7.123,5.645,3.316,4.528,5.549
TRINITY_DN67447_c4_g3,0.31,1.234,1.506,0.701,1.441,1.162,0.932,1.622,1.877,1.074,3.023,1.822,2.429,1.175,0.933,3.402
TRINITY_DN114013_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN63582_c5_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN57846_c7_g1,0,6.086,0,0.442,0.935,0,0,0,0,0,0.384,1.259,0,8.11,18.185,0
TRINITY_DN51295_c2_g1,0,0.066,0.058,0,0,0,0.029,0,0.03,0.029,0.029,0,0.117,0.057,0.032,0
TRINITY_DN20193_c0_g1,0.19,0.171,0.23,0.431,0.078,0,0.233,0.137,0.309,0.125,0.278,0.809,1.479,0.066,0.53,0.56
TRINITY_DN110795_c0_g1,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN68304_c28_g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN73391_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67923_c3_g2,0,3.684,2.733,13.968,0,0.144,0.796,3.889,9.045,0,0.576,46.383,174.112,1.44,4.549,30.983
TRINITY_DN52989_c1_g3,2.327,4.016,4.671,1.153,2.726,3.295,1.544,0.537,3.444,3.347,1.958,1.638,2.394,3.913,3.043,3.973
TRINITY_DN51565_c5_g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN86275_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN59841_c2_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN50260_c7_g1,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN180198_c0_g1,0,0,0.71,0,0,0,0,0,0,0,0,0,0,1.27,0,0
TRINITY_DN10077_c0_g1,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0
TRINITY_DN61831_c1_g1,0,0.285,0.201,0,0,0,0.194,0,0,0.326,0,0.174,0,0.36,0,0.176
TRINITY_DN70848_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN58551_c1_g1,2.686,3.105,3.031,2.834,3.067,2.257,2.612,2.872,2.077,2.148,2.035,3.183,3.85,2.359,1.951,3.247
TRINITY_DN55993_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN55961_c2_g1,0.25,0.218,0.201,0.474,0,0.355,0,0.528,0.719,0.249,0.278,0.092,0.258,0.18,0.201,0.373
TRINITY_DN175371_c0_g1,0.26,0,0.316,0,0.613,0,0,0.274,0,0.259,0,0.553,0.798,0,0,0.57
TRINITY_DN13157_c0_g1,0,0,0.374,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10392_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN66419_c5_g2,1.098,0.627,1.889,0.808,2.989,2.709,1.311,4.182,0.579,1.199,0.787,1.269,1.127,1.582,1.283,2.396
TRINITY_DN197838_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN125862_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN51852_c4_g1,13.96,21.069,12.861,10.325,14.448,8.29,13.407,12.154,11.84,12.448,20.509,7.737,5.669,19.073,12.194,10.445
TRINITY_DN126545_c0_g1,0,0,0,0.151,0,0,0,0,0,0,0,0,0.61,0,0,0
TRINITY_DN53507_c2_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN59643_c6_g2,0,0.057,0.058,0.237,0.049,0.154,0.019,0,0.06,0.163,0.067,0.031,0.035,0,0.032,0.021
TRINITY_DN55703_c5_g2,0,0.142,0.393,0,0,0.346,0.388,0.166,0,0.163,0.173,0.348,0,0,0,0
TRINITY_DN66157_c5_g6,2.646,0.912,0.633,1.767,1.548,2.248,1.262,0.83,0.639,1.582,0.288,3.623,0.81,1.146,1.241,1.743
TRINITY_DN162445_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN78771_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN66400_c2_g1,1.268,1.576,1.189,2.199,2.142,2.094,2.689,2.491,1.877,0.978,1.833,4.452,2.606,2.132,1.993,2.78
TRINITY_DN52254_c1_g3,2.726,1.738,2.206,2.759,3.057,2.709,2.874,2.687,2.536,2.541,3.138,2.456,1.948,2.407,2.619,2.334
TRINITY_DN65547_c5_g5,0.979,1.13,0,1.089,1.519,0.692,0.777,1.348,0,1.88,2.121,0.686,1.995,0.351,2.672,0.934
TRINITY_DN6144_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN54107_c5_g1,0.04,0.285,0.086,0.043,0,0.096,0,0,0.02,0.086,0.163,0.133,0.2,0.142,0.201,0.197
TRINITY_DN119500_c0_g1,0,0,0,0,0,0.701,0,0,0,0,0,0.348,0,0,0,0
TRINITY_DN48304_c0_g2,2.007,3.637,3.059,3.287,3.057,3.151,1.942,3.283,4.343,4.719,3.714,5.956,5.915,3.278,3.711,5.3
TRINITY_DN84861_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN33370_c0_g1,0,0,0,0,0,0,0,0,0,0,0.202,0,0,0,0,0.207
TRINITY_DN80558_c0_g1,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0
TRINITY_DN134507_c0_g1,0,0,0,0,0,0,0,0,0.409,0,0,0,0,0,0,0
TRINITY_DN169083_c0_g1,0,0,0,0.119,0,0.115,0,0.117,0,0.105,0,0,0,0.351,0.382,0
TRINITY_DN56804_c1_g1,0,0,0.451,0,0,1.191,0,0.391,1.358,0.738,0,0.389,0.575,0,0,0.405
TRINITY_DN66662_c2_g7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN56728_c10_g1,9.457,8.156,9.111,4.214,6.63,10.711,6.777,5.256,3.055,6.282,7.495,3.326,7.77,9.541,3.711,6.908
TRINITY_DN57044_c1_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67593_c1_g4,1.098,2.326,1.822,1.412,0.983,2.056,1.612,0.967,1.428,0.336,1.18,1.238,2.852,1.364,1.781,1.473
TRINITY_DN120704_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN149328_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN131981_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN49470_c0_g1,0,0.152,0,0,0.049,0,0,0.049,0,0.086,0,0,0.07,0,0,0
TRINITY_DN59073_c0_g1,0,0,0,0.517,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN68262_c0_g1,1.478,0.636,0.441,2.188,1.295,0.913,2.641,1.925,0.15,1.228,0.797,0.778,0.763,0.929,1.442,0.674
TRINITY_DN61368_c13_g1,0,0,0.336,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN64828_c12_g1,13.221,8.716,5.601,4.516,23.697,4.477,0,3.781,2.406,3.99,6.785,12.21,7.523,4.851,6.553,1.608
TRINITY_DN68158_c19_g1,7.529,7.919,7.059,6.046,8.685,10.404,7.204,8.422,9.963,9.802,10.259,11.104,9.765,6.623,7.454,8.381
TRINITY_DN40164_c2_g1,0,0,0,0,0,0,0,0,0,0,1.392,0,0,0,0,0
TRINITY_DN35459_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0
TRINITY_DN65262_c4_g1,2.506,1.206,2.177,2.177,3.096,3.016,2.825,5.305,3.205,6.148,3.704,1.177,1.502,0,3.34,1.068
TRINITY_DN42191_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN63152_c8_g15,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239
TRINITY_DN58365_c7_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN53591_c0_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN151288_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN58243_c2_g1,0.33,0.323,0.403,0.377,0.302,0.24,0.049,0.313,0.27,0.182,0.163,0.317,0.34,0.237,0.127,0.529
TRINITY_DN60547_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN201171_c0_g1,0.709,0.978,0.681,0.313,0.331,0.154,0.165,0.147,0.519,0.278,0.921,1.494,0,0.616,0.17,1.245
TRINITY_DN180470_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN58582_c14_g1,0,0.038,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0
TRINITY_DN65064_c6_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN197115_c0_g1,0,0,0,0.205,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN151444_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN113563_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN54891_c4_g1,0,0,0,0.56,0,0,0,1.045,0.609,0.997,0,0,0,0,0,0
TRINITY_DN54332_c7_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN132013_c0_g1,0,0,0,0,0,0,0,0,0,0.441,0,0,0,0,0,0
TRINITY_DN62354_c17_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN51408_c14_g1,3.805,1.766,1.937,2.77,3.417,6.686,5.068,2.892,6.2,3.059,0.95,1.238,1.35,1.421,1.209,1.12
TRINITY_DN50847_c9_g3,0,0,0.307,0.28,0.594,0,0,0.264,0,0,0,0.266,0,0,0,0
TRINITY_DN188410_c0_g1,0,0.427,0,0,0,0,0,0,0,0,0.173,0,0,0.18,0,0
TRINITY_DN205907_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN63330_c3_g4,0,0,0,0.151,0,0,0,0.137,0.16,0,0.441,0.143,0,0.142,0,0.145
TRINITY_DN53073_c4_g6,0.809,1.358,1.295,0.172,0.448,0.596,0.34,0,0.19,0.316,0.499,0.44,0.188,0.171,0,1.214
TRINITY_DN100929_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN58606_c3_g1,0.389,0,0.94,0.873,1.149,0,0.699,1.016,0.24,0.393,1.91,1.863,1.502,0.426,1.612,0.861
TRINITY_DN365_c0_g1,0,0.066,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0
TRINITY_DN29941_c0_g1,0,0.133,0,0.172,0,0.173,0,0,0,0,0,0,0,0,0.562,0
TRINITY_DN57406_c17_g1,0,0,0.604,0,0,0,0,0,0,0,0.547,0,0,0,0,0
TRINITY_DN11753_c0_g1,0.09,0,0.115,0,0,0,0.107,0,0,0.096,0.096,0,0,0,0.329,0
TRINITY_DN67573_c5_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN50779_c6_g3,0.369,1.101,0.355,0.711,0.72,0.961,0.417,0.616,0.489,0.988,0.662,1.269,0.411,0.919,0.35,0.996
TRINITY_DN8189_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0
TRINITY_DN68069_c7_g5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN53918_c1_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN82709_c0_g1,0,0,0,0,0,0,0,0,0.17,0,0,0,0.211,0,0,0
TRINITY_DN65981_c0_g2,16.107,6.741,7.855,7.264,14.312,4.054,10.378,4.582,3.884,2.589,6.267,2.722,2.3,3.553,8.472,5.643
TRINITY_DN66996_c2_g2,0.919,1.234,2.714,0.798,1.908,2.065,2.32,1.602,0.619,0.614,1.43,1.617,1.162,2.103,1.686,1.348
TRINITY_DN188702_c0_g1,0,0,0,0,0.36,0.327,0,0,0,0.153,0,0.328,0.716,0,0,0.342
TRINITY_DN181028_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN82580_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN59291_c8_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN4610_c0_g1,0.2,0,0.058,0.054,0.049,0.154,0.049,0.147,0.24,0.134,0,0.102,0,0,0.053,0.145
TRINITY_DN54898_c5_g5,0.21,0,0,0.711,0.497,0,0.757,0.664,1.288,0.422,0.461,0,0.329,0,0.498,0.467
TRINITY_DN140510_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN64388_c1_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN55812_c4_g12,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN155128_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN57183_c9_g1,0.21,0.627,0.499,0.582,0.127,0.778,0.748,0.547,0.629,1.141,0.566,0.665,0.81,0.227,1.23,0.456
TRINITY_DN55065_c4_g1,0.689,1.548,1.832,0.313,0.808,1.028,0.99,2.306,0.499,1.371,0.893,0.87,0.423,1.194,0.816,1.815
TRINITY_DN68128_c1_g1,0,0.741,0.23,0,0.409,0.067,0.078,0.557,0.419,0.067,0.47,0.972,0.528,0.398,0.435,1.214
TRINITY_DN54152_c3_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0
TRINITY_DN65417_c8_g3,4.633,9.02,7.682,7.264,7.049,9.251,4.893,7.972,4.712,9.543,7.658,8.249,8.11,5.259,6.945,6.618
TRINITY_DN101568_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN1000_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN50530_c11_g1,0,0,0.278,0,0,0,0.282,0.489,0,0.153,0,0,0,0,0,0
TRINITY_DN150452_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
