,GG595,GG596,GG826,GG823,GG607,GG831,GG646,GG815,GG633,GG806,GG808,GG811,GG797,GG675,GG671
TRINITY_DN51228_c4_g1,17.588,18.883,19.027,18.652,20.318,18.953,17.2,21.656,18.609,20.89,19.594,20.516,18.886,18.714,18.167
TRINITY_DN49639_c0_g3,0,0,0,34.436,1.887,0,0,0,0,3.648,2.123,0,0,17.009,0
TRINITY_DN60265_c6_g3,2.443,0,4.709,3.714,3.774,3.567,6.864,2.851,3.883,1.036,2.095,4.384,2.425,3.931,10.458
TRINITY_DN63646_c4_g1,6.153,3.677,3.975,2.758,4.193,6.229,6.053,7.701,2.463,3.566,6.76,8.414,4.9,10.944,5.743
TRINITY_DN59213_c3_g2,2.513,1.333,2.383,4.479,5.292,2.191,2.777,5.383,3.152,9.155,7.455,2.753,3.257,1.889,5.519
TRINITY_DN65496_c1_g1,7.627,11.373,6.146,10.428,3.425,8.833,9.407,4.194,5.031,9.693,11.187,5.506,9.314,8.024,10.336
TRINITY_DN57884_c9_g3,15.748,20.609,19.625,18.179,21.626,15.17,18.364,15.914,16.334,20.941,17.052,23.799,17.718,17.131,11.466
TRINITY_DN67240_c9_g2,22.801,23.609,20.561,21.974,20.748,22.422,18.393,18.754,19.413,16.216,24.345,18.221,21.469,18.469,19.756
TRINITY_DN52296_c5_g1,11.663,11.059,12.36,7.882,15.156,10.552,17.454,12.469,11.262,13.381,14.329,18.418,9.997,11.087,10.499
TRINITY_DN63970_c2_g1,10.535,5.804,8.491,10.66,8.676,9.305,9.26,7.813,10.03,7.336,6.303,8.217,11.017,8.137,9.42
TRINITY_DN62213_c7_g4,24.601,32.619,26.524,30.903,28.885,30.97,28.905,34.268,27.658,34.322,22.936,29.055,29.12,28.351,31.202
TRINITY_DN64227_c1_g2,19.289,37.894,19.423,27.651,19.869,14.679,27.428,34.74,21.208,21.337,11.016,24.973,23.983,24.216,27.902
TRINITY_DN65490_c2_g1,9.546,11.52,11.646,7.056,7.978,10.13,9.309,7.608,6.45,10.882,12.073,7.988,5.959,8.484,9.745
TRINITY_DN47691_c0_g1,6.291,5.294,6.204,9.955,8.696,2.397,2.914,3.179,5.813,7.559,10.445,6.482,7.958,6.554,7.301
TRINITY_DN61981_c6_g1,0.692,0,10.941,0,3.345,0,5.231,5.014,5.333,0.406,0,0,0,7.034,3.921
TRINITY_DN49782_c0_g1,11.267,9.442,9.137,14.344,12.72,16.291,12.047,13.391,9.289,13.778,11.216,16.901,10.779,10.352,7.729
TRINITY_DN58765_c0_g6,15.926,17.795,19.596,21.058,15.875,16.399,18.09,21.061,18.641,19.457,14.11,19.467,15.59,17.039,21.181
TRINITY_DN58892_c0_g4,38.757,72.377,79.495,81.022,45.759,70.33,308.807,60.579,59.575,69.101,66.162,84.548,67.951,45.533,76.355
TRINITY_DN58504_c7_g2,19.131,12.138,18.477,15.472,18.261,7.526,8.869,19.41,12.65,9.846,9.045,18.969,16.995,11.271,18.544
TRINITY_DN57846_c7_g1,0,37.267,46.902,157.513,1.757,95.316,24.935,0,36.227,48.09,95.277,29.679,62.329,112.547,102.22
TRINITY_DN67923_c3_g2,0.109,0,0.54,0.453,0.25,0,15.225,0,0.365,0,0,0,0.643,0,0.377
TRINITY_DN51852_c4_g1,16.342,29.825,22.279,27.39,20.678,95.798,24.064,24.722,32.282,35.663,19.88,25.212,22.221,18.581,30.092
TRINITY_DN64828_c12_g1,46.839,27.492,27.518,24.843,16.624,33.121,18.618,26.434,24.569,23.034,35.723,37.563,16.193,20.276,20.356
TRINITY_DN68158_c19_g1,8.003,16.481,12.292,11.103,9.285,10.042,11.001,10.51,12.514,13.818,13.491,11.157,11.492,11.281,7.393
TRINITY_DN65981_c0_g2,5.263,5.167,3.502,9.975,4.433,2.525,3.139,4.348,9.853,2.164,2.752,6.493,12.709,4.002,6.375
TRINITY_DN67769_c8_g4,22.118,14.922,14.492,24.189,35.604,12.095,20.798,16.139,10.207,11.746,14.881,21.96,17.332,16.11,60.041
TRINITY_DN59575_c10_g1,8.547,33.139,13.257,18.501,15.076,27.56,23.106,29.941,19.256,26.478,12.377,26.635,28.546,14.752,8.045
TRINITY_DN56186_c10_g6,10.456,9.55,15.727,16.156,13.539,14.001,18.667,14.704,11.982,13.808,19.69,12.372,15.629,24.227,15.295
TRINITY_DN50720_c5_g1,7.755,11.324,11.067,9.311,13.01,12.488,10.864,13.412,8.84,12.477,7.941,11.572,12.947,8.964,11.914
TRINITY_DN55363_c3_g2,15.669,11.658,16.451,13.317,16.344,32.552,14.286,13.176,16.491,13.808,20.175,9.173,10.522,13.109,16.354
TRINITY_DN54623_c2_g4,142.217,154.303,151.02,124.537,181.616,143.559,126.482,139.339,163.017,161.247,184.309,116.533,133.655,150.321,114.247
TRINITY_DN57246_c0_g1,15.619,11.716,14.762,15.099,17.093,14.63,14.491,15.934,14.267,14.245,14.291,15.083,15.54,18.469,15.377
TRINITY_DN54233_c11_g3,25.096,14.128,17.136,19.136,23.314,20.466,15.44,22.087,21.761,18.898,13.32,25.814,19.876,20.347,24.297
TRINITY_DN52584_c2_g1,20.951,30.972,30.075,23.263,22.145,24.573,33.559,34.586,18.693,35.673,21.822,26.604,26.834,23.41,20.265
TRINITY_DN61805_c8_g3,6.489,10.52,5.924,6.03,6.6,4.991,3.628,5.045,5.177,5.375,8.855,6.15,3.405,6.84,5.092
TRINITY_DN66316_c6_g1,28.617,23.482,25.868,27.219,32.19,27.177,26.695,31.612,25.185,27.85,21.089,25.492,27.794,25.931,26.09
TRINITY_DN57294_c0_g2,7.706,7.638,12.891,18.36,10.534,5.925,17.268,14.499,10.792,12.193,3.647,6.918,21.38,11.046,9.145
TRINITY_DN52330_c2_g2,111.492,66.945,71.66,85.813,107.043,84.715,78.529,91.618,100.749,76.346,93.611,82.356,97.675,93.629,77.047
TRINITY_DN53413_c6_g1,7.577,5.54,4.651,13.69,2.386,3.272,5.339,12.038,3.83,5.71,3.789,7.261,4.741,2.869,7.729
TRINITY_DN61598_c8_g1,27.43,30.688,28.55,25.98,33.667,30.193,24.817,27.337,31.238,34.464,34.209,32.753,28.784,31.322,25.061
TRINITY_DN53390_c0_g6,16.322,7.363,6.493,7.147,10.593,10.808,12.849,6.942,10.124,6.188,4.846,4.82,13.927,10.812,6.151
TRINITY_DN53098_c4_g1,4.59,4.912,15.727,2.345,4.343,13.844,11.793,7.424,13.349,21.784,3.647,3.231,1.861,3.165,4.562
TRINITY_DN68228_c6_g2,192.824,194.874,201.713,228.026,214.974,193.747,163.903,206.912,224.846,221.742,212.453,229.004,186.502,223.409,236.854
TRINITY_DN52604_c1_g5,260.357,269.584,272.64,243.276,278.305,280.152,228.86,279.949,259.403,277.534,219.194,331.763,311.407,314.475,238.595
TRINITY_DN62046_c12_g1,15.273,12.873,17.29,11.576,12.51,14.748,21.874,21.994,8.089,13.198,10.873,17.39,10.255,12.016,13.829
TRINITY_DN62179_c8_g6,12.434,17.795,15.206,8.908,19.919,14.895,16.398,16.252,15.697,20.748,14.967,15.738,18.232,15.59,12.77
TRINITY_DN62067_c0_g4,406.986,347.343,362.546,461.699,444.825,466.5,360.759,413.741,462.937,424.637,399.618,451.485,386.821,444.112,515.5
TRINITY_DN65884_c3_g10,13.463,13.785,35.941,11.526,18.321,26.872,27.672,10.828,20.738,25.909,8.417,16.475,26.903,4.492,6.141
TRINITY_DN48520_c0_g1,7.518,15.56,11.771,8.174,6.67,4.461,11.353,8.49,2.661,4.572,9.654,11.822,2.969,5.033,9.807
TRINITY_DN60957_c0_g2,7.31,7.824,6.725,8.707,8.796,7.821,7.715,9.269,8.047,9.51,8.35,8.809,9.225,7.494,6.538
TRINITY_DN48247_c0_g1,7.726,13.128,6.156,7.841,5.861,5.679,10.463,12.91,9.143,7.417,4.675,8.705,8.008,7.871,7.23
TRINITY_DN50687_c4_g1,10.921,10.246,10.237,12.18,11.572,11.496,10.746,10.449,10.385,9.693,9.702,10.772,9.304,9.454,12.485
TRINITY_DN53875_c4_g3,10.812,7.589,7.661,12.572,9.835,9.924,10.13,10.418,9.686,10.994,6.665,10.191,10.839,9.883,10.642
TRINITY_DN62555_c0_g2,91.362,98.447,96.447,117.561,101.402,77.444,67.832,130.213,109.224,113.31,116.119,124.646,134.883,102.511,108.014
TRINITY_DN65473_c4_g2,18.132,20.119,15.679,19.196,18.072,16.9,17.024,18.077,16.731,18.949,17.414,15.489,18.223,15.283,15.438
TRINITY_DN63919_c0_g1,431.864,303.625,352.714,554.397,479.381,441.003,354.902,407.937,506.919,349.073,372.445,391.961,402.609,447.042,461.223
TRINITY_DN65561_c10_g3,3.64,7.432,1.64,4.338,9.495,4.903,4.889,4.204,4.488,8.098,3.875,5.069,8.74,4.421,3.065
TRINITY_DN49468_c1_g2,25.254,25.747,37.755,15.653,11.193,22.048,24.807,8.675,11.961,26.814,19.718,19.872,13.561,14.415,7.648
TRINITY_DN60922_c5_g3,10.139,6.775,8.751,8.003,7.009,8.283,5.319,7.936,7.703,5.731,7.75,7.5,8.394,6.534,9.246
TRINITY_DN53884_c5_g3,0.267,1.431,0.849,0.544,0.988,13.726,0.411,2.041,1.263,2.886,2.152,0.862,1.247,0.898,2.138
TRINITY_DN51525_c4_g1,9.635,13.991,14.039,8.164,14.467,14.355,8.83,11.371,11.919,10.801,11.682,8.165,10.957,15.538,13.615
TRINITY_DN68247_c7_g1,62.339,56.395,53.791,57.739,82.222,47.034,48.09,59.677,60.963,70.971,67.152,65.154,65.684,70.464,61.487
TRINITY_DN50161_c1_g5,22.089,25.031,21.912,27.037,24.661,23.915,25.081,28.27,25.498,31.437,24.983,25.7,27.774,24.87,24.766
TRINITY_DN67345_c1_g1,6.539,7.569,6.715,8.315,5.771,7.192,9.133,7.516,8.872,5.974,8.198,5.921,6.038,4.829,5.265
TRINITY_DN67148_c7_g2,5.54,8.912,9.234,9.855,6.879,8.627,6.874,5.998,8.736,9.063,10.13,9.297,6.879,4.543,8.024
TRINITY_DN63986_c0_g3,26.135,28.59,26.727,24.4,20.967,22.874,22.138,27.696,54.262,19.213,20.689,22.916,22.34,33.19,27.424
TRINITY_DN65725_c3_g1,27.895,22.864,21.565,14.717,41.246,18.039,13.875,19.492,24.6,20.026,30.325,28.827,17.728,29.035,22.821
TRINITY_DN55745_c4_g1,3.759,7.834,6.648,3.08,5.052,5.217,6.072,4.635,6.607,10.719,12.52,3.792,5.058,7.034,4.236
TRINITY_DN51205_c9_g1,7.538,6.579,4.824,8.778,8.577,11.8,11.274,6.183,8.579,5.548,5.113,14.045,7.364,4.216,9.98
TRINITY_DN66785_c7_g1,12.058,14.471,13.817,11.063,14.288,12.812,15.821,17.237,10.823,14.723,14.643,12.393,16.292,12.241,14.246
TRINITY_DN68237_c3_g2,4.669,5.991,2.383,7.469,3.844,3.046,5.486,3.209,41.769,4.024,6.541,2.181,3.93,7.167,2.026
TRINITY_DN62650_c7_g2,18.834,17.825,20.455,20.555,16.175,21.252,20.251,17.667,21.845,21.418,18.204,18.044,18.371,19.714,25.835
TRINITY_DN41698_c0_g1,54.554,79.338,55.103,45.056,62.073,39.645,50.114,77.591,67.434,91.881,53.223,76.674,53.688,51.046,54.532
TRINITY_DN68212_c1_g1,54.307,44.051,51.109,49.616,79.196,40.363,60.586,35.57,44.723,32.889,66.543,41.801,69.99,43.604,44.705
TRINITY_DN64523_c10_g1,33.534,43.993,38.536,32.121,37.272,33.996,30.899,33.797,33.691,54.856,63.344,43.245,43.186,36.049,32.475
TRINITY_DN62127_c5_g5,14.65,12.412,8.462,13.74,12.58,13.903,12.497,14.427,11.335,11.674,14.177,12.445,10.126,12.506,11.741
TRINITY_DN52598_c2_g1,19.082,21.687,15.862,15.844,20.508,22.196,13.846,12.592,16.115,23.887,21.289,17.587,22.429,24.911,18.809
TRINITY_DN55436_c11_g9,30.487,18.197,21.709,47.894,30.672,14.512,22.725,14.386,23.473,25.594,15.377,15.104,32.545,16.069,20.275
TRINITY_DN68337_c8_g3,1.276,12.481,0,29.071,10.514,5.198,3.158,0.718,27.961,8.647,8.578,5.464,1.079,17.999,10.723
TRINITY_DN57092_c3_g1,12.306,8.697,10.758,8.959,11.772,8.961,8.859,8.408,10.26,6.818,11.768,10.752,10.888,8.147,8.819
TRINITY_DN57820_c9_g1,52.863,73.494,41.103,62.299,32.02,59.63,42.066,45.055,30.174,70.666,66.486,62.235,51.104,39.632,51.65
TRINITY_DN57999_c2_g1,8.408,7.442,19.963,6.251,13.329,23.905,3.765,9.269,11.679,20.758,13.71,19.467,17.708,81.47,18.208
TRINITY_DN15320_c0_g1,30.695,46.875,50.452,60.235,43.173,52.998,48.794,49.557,71.003,49.979,46.967,56.594,39.128,31.751,54.257
TRINITY_DN63934_c5_g1,8.754,8.942,7.835,10.71,8.127,10.209,9.221,8.972,10.093,9.317,8.226,8.362,9.789,8.576,9.593
TRINITY_DN62884_c2_g1,36.195,39.286,39.067,38.704,42.244,43.31,37.314,34.904,37.667,45.621,44.387,35.569,34.129,41.174,37.281
TRINITY_DN61983_c0_g1,0.406,2.745,0.492,0.835,1.837,19.395,0,2.102,2.244,2.916,0,0.447,0,0.459,2.77
TRINITY_DN65574_c2_g1,0,10.03,29.737,12.572,0.339,4.5,7.246,36.739,11.189,6.777,25.935,10.024,11.244,7.412,21.263
TRINITY_DN50085_c2_g1,60.292,38.032,46.747,51.981,50.281,34.821,56.665,44.901,48,38.772,45.901,53.322,56.469,71.71,57.373
TRINITY_DN55529_c4_g1,8.339,13.854,14.048,10.519,9.525,10.926,12.213,9.721,9.821,13.808,13.006,13.151,10.344,7.79,12.485
TRINITY_DN56745_c1_g7,256.004,323.91,194.313,253.533,210.192,229.227,258.205,234.371,373.982,161.714,164.01,294.459,167.279,233.383,227.811
TRINITY_DN64153_c0_g4,12.612,12.844,9.243,11.938,12.52,12.439,11.695,10.377,14.633,11.512,12.911,12.05,12.333,14.824,13.136
TRINITY_DN58320_c0_g1,8.022,4.804,7.931,8.989,6.67,7.87,9.192,8.952,7.577,5.355,5.579,7.251,9.156,7.31,8.544
TRINITY_DN45535_c0_g1,2.522,7.461,5.403,7.036,3.954,1.965,8.37,1.364,4.018,9.744,3.532,6.939,6.553,8.147,7.251
TRINITY_DN57774_c2_g1,18.32,12.736,13.547,13.71,14.298,14.551,14.237,13.925,14.372,12.751,12.454,14.252,16.312,16.253,14.583
TRINITY_DN54933_c0_g2,10.446,6.03,7.825,12.432,6.929,13.048,10.59,10.849,11.126,6.767,11.787,11.001,8.493,9.689,8.798
TRINITY_DN58549_c0_g3,17.43,20.952,13.556,20.927,11.802,16.428,22.206,19.287,16.282,18.644,12.235,20.319,16.817,14.62,20.53
TRINITY_DN65928_c1_g7,11.979,11.069,3.3,5.949,7.279,9.482,4.733,1.753,7.504,6.096,5.417,10.71,10.522,4.992,4.236
TRINITY_DN54694_c4_g1,13.641,18.413,15.959,9.543,10.514,11.751,12.066,14.284,12.921,23.379,17.119,8.238,12.897,15.6,6.263
TRINITY_DN62938_c0_g1,22.237,26.962,22.423,25.638,36.663,29.211,20.525,20.631,24.788,31.589,41.312,23.196,27.626,25.84,20.316
TRINITY_DN50050_c8_g2,6.825,7.736,7.603,10.086,5.481,6.956,9.221,9.075,7.431,6.056,6.446,8.134,7.859,8.004,10.02
TRINITY_DN50694_c2_g1,10.505,11.344,10.662,10.861,12.341,6.603,10.189,14.919,14.09,9.51,8.274,11.209,12.501,11.649,10.672
TRINITY_DN48105_c0_g2,16.163,16.834,18.506,18.532,17.762,19.091,16.339,19.523,17.2,20.88,19.214,18.989,19.747,17.723,18.849
TRINITY_DN50280_c1_g1,32.278,40.669,33.567,29.665,39.438,30.066,29.481,34.801,26.072,43.406,42.892,31.808,39.385,35.018,25.815
TRINITY_DN58762_c12_g1,9.872,12.971,11.385,12.16,12.021,11.201,7.999,9.249,7.744,11.949,14.605,10.762,12.739,11.557,13.106
TRINITY_DN66525_c0_g1,23.266,14.334,19.683,22.447,18.701,24.092,21.336,22.969,19.935,21.042,14.186,22.314,19.935,21.235,21.049
TRINITY_DN60919_c5_g3,8.843,11.187,10.363,10.509,12.441,12.518,9.143,9.362,9.164,11.552,11.225,10.419,10.324,12.384,12.301
TRINITY_DN67242_c1_g1,17.291,15.403,14.415,15.784,17.812,14.817,12.262,15.34,14.633,15.942,17.69,16.081,17.144,17.968,13.35
TRINITY_DN67152_c3_g1,17.004,12.775,13.402,12.19,14.048,16.968,11.949,15.914,15.092,16.074,13.606,14.616,11.927,12.108,12.912
TRINITY_DN55523_c1_g1,27.381,25.992,35.073,32.01,37.941,28.788,28.093,22.999,32.386,24.548,21.499,30.188,29.437,30.863,36.619
TRINITY_DN65591_c4_g1,17.281,16.893,19.702,14.928,21.536,19.081,18.08,18.129,20.947,16.44,14.339,14.263,17.005,15.722,20.387
TRINITY_DN62776_c9_g2,30.002,13.971,17.628,27.148,24.721,27.56,24.26,23.45,25.529,22.861,18.718,27.196,28.923,25.799,29.888
TRINITY_DN58337_c7_g1,10.347,10.677,12.283,10.217,10.813,10.11,8.429,8.839,11.251,11.847,11.368,10.035,8.958,13.17,8.361
TRINITY_DN56695_c6_g7,60.212,70.102,62.06,63.919,61.015,59.07,75.576,64.578,72.997,44.879,66.79,77.183,72.94,66.82,82.801
TRINITY_DN55120_c8_g2,106.428,179.137,214.478,157.141,69.621,92.074,182.619,173.72,104.047,83.763,61.106,72.675,159.272,117.856,176.996
TRINITY_DN59803_c6_g2,6.113,8.216,6.329,5.526,7.538,9.197,8.488,5.486,5.772,4.593,7.36,7.729,5.751,4.758,7.872
TRINITY_DN54168_c5_g1,15.174,16.452,19.461,21.843,19.39,16.467,16.76,16.406,17.691,16.704,17.062,15.634,16.787,18.959,18.615
TRINITY_DN63201_c2_g2,86.584,101.045,119.7,118.095,111.416,114.869,117.398,161.487,92.389,130.074,99,155.01,149.057,126.064,79.318
TRINITY_DN62191_c3_g2,59.53,62.807,57.795,65.691,77.868,68.08,55.599,78.175,61.474,71.896,69.132,64.78,70.04,74.068,56.161
TRINITY_DN62063_c1_g2,10.228,5.902,23.9,13.911,14.048,17.224,16.369,16.006,9.873,9.947,12.111,7.801,21.835,23.532,25.896
TRINITY_DN58918_c3_g1,7.548,5.461,7.101,11.928,5.981,7.782,9.368,11.32,7.536,8.484,6.665,8.144,5.889,8.024,8.91
TRINITY_DN49705_c4_g3,58.63,50.071,50.626,62.279,60.915,57.724,54.152,56.704,56.757,60.353,51.614,59.866,57.132,64.298,56.069
TRINITY_DN51912_c2_g2,67.256,62.052,73.956,74.952,89.58,58.265,64.429,55.914,72.955,68.858,72.017,71.127,60.29,57.825,75.845
TRINITY_DN50788_c1_g2,13.78,12.922,12.205,14.032,13.639,15.711,14.237,14.796,15.697,13.422,11.787,13.671,14.194,14.119,16.039
TRINITY_DN66881_c6_g4,5.985,7.471,4.525,8.123,8.087,4.647,6.581,8.418,4.123,7.925,8.093,7.053,7.305,14.313,11.008
TRINITY_DN51435_c2_g2,12.197,13.148,9.967,12.14,10.593,10.749,14.55,15.627,11.773,11.065,7.455,12.061,8.819,10.291,13.503
TRINITY_DN50184_c11_g2,61.835,20.364,16.576,43.284,55.783,26.44,16.789,29.51,58.521,35.836,14.491,22.833,34.099,53.313,34.766
TRINITY_DN65448_c4_g2,13.107,7.687,10.527,10.61,8.417,7.683,9.905,6.06,9.446,5.395,8.102,5.797,8.146,13.272,10.255
TRINITY_DN60083_c4_g2,10.921,7.295,5.538,7.731,9.765,6.524,7.559,6.942,7.16,5.375,6.541,7.5,8.364,10.658,7.8
TRINITY_DN67322_c5_g6,42.684,51.366,42.454,43.163,41.565,42.289,41.685,51.628,41.602,57.051,48.357,53.072,54.42,46.401,46.395
TRINITY_DN52187_c9_g1,7.894,7.432,6.03,6.774,6.789,11.083,8.849,5.496,5.052,3.912,5.713,7.968,6.305,4.431,8.391
TRINITY_DN53996_c5_g2,21.367,5.657,15.496,3.785,7.079,15.269,16.027,25.255,19.977,15.576,11.616,12.673,8.235,8.361,14.409
TRINITY_DN54994_c5_g2,16.985,56.846,30.2,19.317,49.543,46.68,77.395,37.714,40.329,21.835,53.689,46.258,38.336,25.584,30.112
TRINITY_DN53704_c4_g4,8.309,9.226,7.864,8.304,9.066,8.018,8.38,8.059,9.028,8.768,8.255,8.612,8.275,8.065,7.108
TRINITY_DN64019_c3_g4,12.207,14.589,15.718,13.7,14.018,14.227,13.142,15.668,13.6,18.116,15.986,16.797,13.264,13.068,15.316
TRINITY_DN63567_c8_g2,12.365,6.461,7.777,15.763,17.832,16.566,13.787,5.742,12.399,8.87,16.386,8.009,17.163,12.414,19.063
TRINITY_DN53841_c7_g1,3.076,2.804,3.705,6.291,9.705,3.233,3.227,3.158,3.371,2.327,4.085,2.711,4.029,3.451,6.293
TRINITY_DN56494_c7_g4,8.626,12.922,14.492,7.328,7.718,10.778,11.059,12.212,10.541,9.47,10.54,9.619,11.442,13.476,15.081
TRINITY_DN52426_c1_g1,13.354,13.295,10.584,12.14,13.459,13.068,9.847,8.88,10.176,10.516,12.92,10.835,18.757,14.201,12.739
TRINITY_DN66533_c8_g2,10.96,11.373,9.562,10.428,10.154,10.906,6.972,5.045,5.803,9.876,6.903,9.37,12.343,22.052,9.776
TRINITY_DN60839_c4_g2,12.128,13.099,13.518,13.468,12.381,18.472,16.115,15.432,14.476,12.843,14.053,19.145,13.372,12.241,17.576
TRINITY_DN55482_c2_g1,15.155,14.971,15.563,13.509,13.06,15.357,13.826,8.347,13.453,12.975,14.548,21.576,13.867,13.813,13.371
TRINITY_DN49714_c9_g1,913.969,903.795,877.384,1055.827,1033.436,989.958,848.528,923.806,1004.465,1002.128,974.785,1071.724,882.721,1088.663,1076.071
TRINITY_DN63938_c1_g9,21.861,21.57,23.861,21.29,25.34,22.451,19.889,20.313,20.791,22.333,23.803,20.994,20.192,23.042,21.365
TRINITY_DN66496_c3_g1,7.904,7.706,6.252,8.727,4.892,8.587,7.754,6.583,8.778,6.025,6.189,5.267,4.177,9.474,6.375
TRINITY_DN57177_c2_g2,122.75,209.953,120.038,113.152,104.257,356.387,257.198,125.055,172.473,91.587,135.818,246.134,79.997,42.225,131.232
TRINITY_DN61619_c2_g3,22.989,23.923,31.416,23.383,28.655,25.978,25.688,19.78,24.84,25.696,24.583,23.394,26.903,22.083,29.267
TRINITY_DN68327_c12_g1,12.543,9.883,6.87,6.593,9.865,10.847,16.095,5.311,16.063,13.249,8.874,16.766,8.374,13.537,7.444
TRINITY_DN54967_c0_g2,9.338,7.981,7.738,15.099,12.341,4.254,7.676,4.594,6.899,18.299,15.891,9.432,5.375,12.629,8.89
TRINITY_DN64396_c2_g2,16.094,21.099,17.194,12.814,14.687,17.941,16.77,11.259,11.502,19.183,17.852,14.346,17.777,15.13,13.992
TRINITY_DN67890_c9_g3,134.729,274.839,139.297,123.41,119.523,380.007,306.021,143.41,185.989,112.72,183.176,295.457,97.18,45.309,158.34
TRINITY_DN66895_c2_g2,10.238,8.844,9.542,9.704,10.703,11.614,11.431,9.362,11.387,12.589,8.093,10.783,10.967,8.964,12.261
TRINITY_DN53769_c1_g1,5.896,11.638,9.321,6.623,7.898,8.813,6.463,8.839,7.953,7.001,8.245,6.981,9.661,10.199,10.774
TRINITY_DN47813_c0_g1,1.8,3.736,3.946,2.194,1.877,2.132,17.014,2.369,2.672,1.788,2.628,3.116,4.434,1.133,2.597
TRINITY_DN57616_c6_g2,34.058,48.777,40.63,47.29,27.108,12.793,19.126,35.991,39.901,12.558,11.149,39.828,31.021,33.578,18.707
TRINITY_DN63651_c0_g5,7.864,4.422,5.799,9.301,7.678,7.939,7.744,6.983,7.087,5.029,6.684,5.132,7.166,6.075,7.434
TRINITY_DN54100_c2_g4,4.194,4.373,3.83,3.513,9.415,3.724,3.012,10.715,4.154,3.648,6.941,4.415,3.158,7.31,4.104
TRINITY_DN51923_c7_g4,0.613,0,1.843,1.56,1.028,1.769,1.408,0.625,14.111,5.09,2.609,0,0.297,3.441,0.692
TRINITY_DN58164_c0_g3,17.153,9.706,73.542,23.706,12.65,34.723,39.631,84.42,8.256,7.793,20.089,5.36,55.291,95.671,67.933
TRINITY_DN5237_c0_g1,11.643,8.393,10.729,9.271,8.237,9.884,10.463,10.192,12.765,5.69,14.796,15.509,13.155,13.262,13.483
TRINITY_DN62425_c3_g1,9.051,11.589,6.667,8.526,9.335,6.387,4.518,7.065,8.454,7.742,9.826,10.398,7.067,8.606,9.073
TRINITY_DN59388_c2_g1,6.173,4.853,8.462,9.382,6.63,9.236,9.964,7.608,9.08,8.189,5.503,8.29,6.068,6.993,7.862
TRINITY_DN65191_c3_g2,20.249,12.746,16.026,22.669,19.35,19.651,18.667,19.421,18.39,16.877,15.434,15.956,21.944,20.827,18.737
TRINITY_DN51857_c0_g1,9.843,8.697,10.006,10.74,9.715,9.344,9.231,9.772,7.671,11.349,8.693,9.692,9.888,9.515,10.173
TRINITY_DN59638_c0_g1,10.199,8.148,8.848,8.888,9.625,11.083,8.282,7.157,8.224,7.885,7.522,8.612,10.235,8.994,9.969
TRINITY_DN63001_c2_g1,681.053,787.857,729.636,798.187,835.775,694.951,636.174,731.086,788.396,797.628,859.952,876.283,727.468,776.995,812.995
TRINITY_DN65520_c2_g1,15.115,26.541,26.669,22.085,19.17,21.105,19.801,25.747,25.435,30.847,21.879,20.672,16.213,24.278,21.976
TRINITY_DN60356_c1_g1,37.214,23.795,25.762,26.977,52.738,26.686,23.409,18.201,55.974,19.721,45.092,16.922,17.807,34.916,29.389
TRINITY_DN68343_c26_g2,8.299,4.255,9.099,4.057,3.594,7.074,5.945,4.706,4.091,5.04,7.093,3.168,7.008,5.074,3.778
TRINITY_DN51964_c0_g1,10.911,6.785,8.385,10.449,9.465,10.739,9.866,12.797,8.705,8.21,8.855,8.238,11.69,10.24,10.733
TRINITY_DN55543_c2_g1,8.012,7.687,9.321,9.12,6.35,8.568,8.448,10.069,9.289,9.713,6.722,8.155,8.799,8.443,8.442
TRINITY_DN52619_c5_g5,3.878,5.402,7.593,4.459,4.882,5.04,5.593,9.956,6.387,8.636,8.855,6.274,8.384,4.9,4.908
TRINITY_DN57985_c0_g1,9.506,11.746,7.893,8.093,12.011,7.772,6.923,9.146,9.769,8.636,10.606,9.412,9.888,10.413,10.255
TRINITY_DN52542_c2_g2,98.01,89.829,80.826,73.472,82.162,85.235,72.731,68.454,80.491,77.484,88.517,103.267,74.108,73.711,70.581
TRINITY_DN59346_c13_g1,5.619,9.246,7.285,4.047,11.013,6.73,5.241,6.368,6.106,8.829,6.646,8.186,6.374,7.565,6.456
TRINITY_DN57227_c4_g1,10.594,8.991,13.855,9.382,11.842,15.583,8.644,12.038,10.124,13.615,21.118,14.699,15.045,16.825,13.778
TRINITY_DN65935_c6_g1,12.177,8.697,10.787,12.955,12.49,14.06,12.047,11.043,11.867,14.855,10.245,13.91,11.809,11.628,12.261
TRINITY_DN66091_c2_g1,21.08,16.766,22.028,13.7,22.165,20.27,25.14,27.439,27.095,18.167,12.787,23.186,24.983,20.98,19.735
TRINITY_DN62440_c5_g5,4.313,9.687,9.272,9.271,5.322,4.598,6.317,4.83,9.039,6.635,7.074,7.936,5.79,5.962,10.713
TRINITY_DN62199_c4_g1,7.676,5.853,7.304,5.365,3.614,7.929,10.717,8.306,5.323,10.079,4.922,9.588,1.168,4.533,3.187
TRINITY_DN68242_c8_g1,298.302,220.473,213.813,288.684,227.285,241.685,183,285.425,267.033,202.285,363.105,274.919,164.627,209.198,189.135
TRINITY_DN57081_c2_g1,12.197,14.579,15.959,14.193,14.388,13.019,12.027,16.621,15.249,14.672,17.414,15,16.045,15.242,13.615
