,GG595,GG596,GG826,GG823,GG607,GG831,GG646,GG815,GG633,GG806,GG808,GG811,GG797,GG675,GG671
TRINITY_DN52915_c3_g2,11.069,14.295,15.814,15.924,13.958,17.234,14.149,19.185,15.322,18.38,13.177,13.723,14.966,14.732,19.104
TRINITY_DN53453_c6_g2,8.052,7.402,10.401,11.505,10.314,11.928,9.553,12.438,10.333,8.23,8.255,10.762,8.78,7.994,8.992
TRINITY_DN55302_c3_g1,8.497,5.265,6.831,10.016,7.159,7.546,8.165,8.552,7.546,6.614,5.817,7.625,7.236,7.106,8.747
TRINITY_DN49773_c3_g5,34.394,43.816,34.6,44.794,42.713,37.081,36.6,60.159,36.06,49.807,34.514,34.634,35.94,36.049,39.97
TRINITY_DN49368_c4_g5,0.663,11.883,1.872,7.489,1.488,0.255,5.124,9.577,3.893,14.773,1.085,3.355,4.91,7.728,7.75
TRINITY_DN47360_c0_g1,6.954,7.559,8.028,6.191,6.839,6.269,5.603,4.327,6.648,5.598,4.865,9.297,7.701,5.217,4.593
TRINITY_DN67891_c4_g6,12.968,10.971,14.965,21.843,13.539,10.857,16.643,23.789,16.887,16.135,12.044,12.175,11.868,11.996,15.081
TRINITY_DN63772_c3_g8,8.586,4.392,6.812,8.405,8.057,8.863,6.141,7.936,5.323,6.838,4.608,7.988,7.216,9.454,7.322
TRINITY_DN65206_c2_g1,5.322,4.971,6.079,10.217,6.081,7.064,7.803,8.716,5.824,9.277,4.97,6.285,6.087,7.402,7.668
TRINITY_DN57209_c3_g1,1.049,10.618,6.503,9.824,13.818,17.273,6.346,4.748,19.538,2.581,14.091,1.901,15.986,8.004,9.959
TRINITY_DN58111_c3_g1,20.565,9.687,17.088,21.964,11.242,15.072,14.824,13.135,12.942,13.219,21.718,10.253,19.222,18.264,10.336
TRINITY_DN53074_c4_g3,26.896,28.59,23.61,25.085,32.15,25.998,23.605,28.926,24.266,29.587,35.99,26.728,27.903,29.78,21.619
TRINITY_DN55442_c5_g3,22.099,14.628,13.769,15.552,16.954,14.414,15.039,13.791,17.242,15.149,17.157,15.998,17.094,20.357,14.695
TRINITY_DN51832_c0_g4,24.127,27.943,25.704,26.403,29.085,24.544,22.598,28.301,24.569,28.927,23.85,28.92,28.378,28.423,24.012
TRINITY_DN51724_c0_g1,9.635,14.011,10.295,8.294,9.865,10.778,13.807,7.824,9.592,10.15,9.645,12.912,7.701,5.482,9.389
TRINITY_DN66126_c2_g1,9.2,11.912,9.243,9.794,9.236,9.963,9.221,10.613,8.673,12.894,12.777,11.281,12.779,11.792,12.78
TRINITY_DN53925_c7_g10,62.003,71.112,53.627,62.742,65.717,54.59,59.041,86.901,73.268,79.536,45.025,73.714,54.391,55.303,58.055
TRINITY_DN60329_c1_g2,13.888,14.315,13.489,13.871,17.133,13.137,13.22,15.186,15.343,14.469,15.158,15.873,15.421,17.315,13.401
TRINITY_DN43735_c0_g1,22.752,22.952,24.025,25.749,27.158,23.296,20.417,26.116,25.853,24.568,23.736,26.604,30.229,31.005,22.709
TRINITY_DN67706_c2_g1,14.551,13.442,31.117,26.655,24.352,52.055,32.229,33.253,29.182,11.674,11.654,23.425,58.686,32.659,39.684
TRINITY_DN52576_c4_g2,13.977,9.716,11.019,11.646,8.886,15.475,14.208,13.648,12.201,12.741,12.92,9.723,12.769,14.742,21.853
TRINITY_DN65452_c5_g1,17.202,17.158,20.696,17.777,15.925,20.889,20.29,19.831,17.983,18.37,20.251,21.046,16.579,13.078,16.965
TRINITY_DN64803_c0_g1,4.887,5.079,4.921,4.993,6.63,6.662,3.794,5.578,5.052,5.934,9.159,4.498,6.137,6.238,5.438
TRINITY_DN67813_c3_g2,23.642,20.021,17.898,24.642,25.121,24.632,24.641,26.639,25.216,19.61,12.834,16.101,26.27,26.963,24.196
TRINITY_DN60582_c4_g3,6.182,4.324,5.114,5.083,5.162,6.721,5.31,5.886,3.851,4.176,4.58,3.657,6.058,4.216,9.145
TRINITY_DN61210_c3_g1,12.058,10.236,9.957,3.05,9.126,11.997,22.695,3.332,5.041,11.319,24.926,7.344,5.355,4.512,5.407
TRINITY_DN51181_c0_g1,12.226,11.981,14.27,19.438,16.954,16.516,13.201,17.114,14.633,13.3,13.434,12.611,14.273,15.814,15.479
TRINITY_DN56598_c0_g2,10.535,8.187,12.128,8.576,14.577,9.816,11.098,12.54,12.138,12.365,12.177,8.643,10.967,13.803,13.391
TRINITY_DN63775_c4_g1,10.654,7.393,8.578,11.475,12.231,10.346,10.649,9.71,9.446,8.575,8.331,8.009,10.215,10.556,8.849
TRINITY_DN35758_c0_g1,3.304,3.02,3.83,6.744,4.743,5.168,6.923,3.989,3.361,3.495,4.875,6.482,5.434,4.104,9.939
TRINITY_DN50791_c4_g8,5.549,5.392,11.82,6.664,4.952,4.038,10.971,6.665,4.133,2.804,6.836,8.944,5.414,4.88,6.538
TRINITY_DN51264_c0_g1,7.033,6.108,8.471,7.62,4.243,5.522,9.24,5.773,7.087,6.005,8.217,7.729,7.156,5.84,10.438
TRINITY_DN58837_c4_g1,3.848,12.246,0,0,33.787,7.605,20.251,24.24,20.467,7.173,8.693,0,20.568,11.087,17.301
TRINITY_DN49659_c2_g4,85.071,77.71,121.813,31.607,48.714,66.312,89.725,32.843,38.993,78.947,132.057,38.747,54.569,74.446,55.509
TRINITY_DN57338_c1_g3,105.28,91.113,93.234,67.392,60.775,74.182,63.705,77.796,90.229,80.217,67.095,107.516,63.388,79.193,78.157
TRINITY_DN49203_c0_g2,10.644,5.902,9.417,10.217,9.605,11.014,9.563,10.674,8.851,6.482,7.798,8.612,11.967,10.546,8.248
TRINITY_DN59280_c2_g7,9.704,10.814,11.134,13.921,11.113,16.526,14.912,13.043,9.623,11.248,14.339,9.713,13.758,11.669,13.778
TRINITY_DN63991_c3_g2,5.114,8.373,8.5,7.298,5.641,6.534,7.031,7.331,7.734,7.498,6.789,7.199,7.295,5.748,9.226
TRINITY_DN92038_c1_g1,3.907,2.422,5.76,6.211,1.947,5.512,6.004,5.352,6.669,1.544,1.59,2.805,9.176,3.41,6.354
TRINITY_DN51984_c4_g6,6.519,7.991,11.434,10.69,8.976,7.595,11.059,10.9,6.565,5.314,7.55,7.376,9.71,8.024,13.279
TRINITY_DN57768_c4_g3,6.727,8.697,9.012,7.821,8.786,7.477,7.783,8.962,7.494,9.033,9.616,7.988,8.77,7.994,7.688
TRINITY_DN67798_c2_g1,29.142,28.119,32.651,35.714,28.226,32.522,33.256,30.915,29.495,18.878,23.546,27.165,37.395,24.175,30.356
TRINITY_DN60769_c5_g4,7.577,4,4.323,6.513,8.027,4.136,4.136,11.054,5.678,8.047,4.37,4.301,4.979,5.37,8.523
TRINITY_DN57803_c11_g1,12.474,13.324,12.524,9.553,4.653,10.798,10.785,8.541,7.41,11.725,5.065,11.77,5.493,9.913,5.265
